Day,N(g/L),P(g/L),K(g/L)
1,0.013835575,0.172729968,0.03185262
2,0.027779321,0.169273209,0.057232735
3,0.040686415,0.166133756,0.080276049
4,0.052673213,0.163308653,0.101196774
5,0.063851934,0.160794945,0.120202331
6,0.074330719,0.158589675,0.137493434
7,0.084213683,0.156689888,0.153264169
8,0.093600973,0.155092629,0.167702081
9,0.102588818,0.153794942,0.180988252
10,0.111269588,0.152793871,0.193297385
11,0.119731846,0.152086461,0.204797888
12,0.128060406,0.151669756,0.215651951
13,0.136336385,0.151540799,0.226015633
14,0.14463726,0.151696637,0.236038942
15,0.153036919,0.152134312,0.245865918
16,0.161605723,0.15285087,0.255634714
17,0.170410552,0.153843354,0.265477679
18,0.179514869,0.155108809,0.275521441
19,0.188978766,0.15664428,0.285886987
20,0.198859025,0.15844681,0.296689746
21,0.209209172,0.160513444,0.308039672
22,0.220079529,0.162841227,0.320041327
23,0.231517271,0.165427202,0.332793959
24,0.243566481,0.168268414,0.34639159
25,0.256268204,0.171361908,0.360923092
26,0.269660502,0.174704727,0.376472275
27,0.28377851,0.178293916,0.393117964
28,0.29865449,0.18212652,0.410934084
29,0.314317884,0.186199583,0.429989745
30,0.330795372,0.190510148,0.450349315
31,0.348110926,0.195055261,0.472072514
32,0.366285863,0.199831966,0.495214484
33,0.385338901,0.204837307,0.519825884
34,0.405286217,0.210068329,0.545952959
35,0.426141495,0.215522075,0.573637633
36,0.447915988,0.22119559,0.602917585
37,0.470618567,0.227085919,0.633826334
38,0.494255781,0.233190106,0.666393318
39,0.518831907,0.239505195,0.70064398
40,0.544349008,0.24602823,0.736599848
41,0.570806988,0.252756257,0.774278617
42,0.598203646,0.259686318,0.813694232
43,0.626534728,0.266815459,0.85485697
44,0.655793988,0.274140724,0.897773522
45,0.685973238,0.281659158,0.942447074
46,0.717062404,0.289367804,0.988877392
47,0.749049582,0.297263706,1.037060901
48,0.781921091,0.30534391,1.086990769
49,0.81566153,0.31360546,1.138656989
50,0.850253831,0.3220454,1.192046462
51,0.885679316,0.330660774,1.247143074
52,0.921917748,0.339448627,1.303927788
53,0.958947389,0.348406002,1.362378715
54,0.996745057,0.357529945,1.422471205
55,1.035286175,0.3668175,1.484177924
56,1.074544829,0.376265711,1.547468938
57,1.114493825,0.385871622,1.612311795
58,1.155104738,0.395632278,1.678671608
59,1.196347975,0.405544722,1.746511134
60,1.238192821,0.415606001,1.815790862
61,1.280607501,0.425813157,1.886469088
62,1.323559231,0.436163235,1.958502002
63,1.367014273,0.44665328,2.031843769
64,1.410937993,0.457280335,2.106446612
65,1.455294912,0.468041445,2.182260891
66,1.500048762,0.478933655,2.259235189
67,1.545162542,0.489954009,2.337316392
68,1.590598573,0.501099551,2.416449772
69,1.63631855,0.512367325,2.496579067
70,1.682283602,0.523754377,2.577646567
71,1.728454339,0.535257749,2.659593193
72,1.774790917,0.546874487,2.74235858
73,1.821253083,0.558601635,2.825881162
74,1.867800237,0.570436237,2.910098247
75,1.914391483,0.582375338,2.994946108
76,1.960985684,0.594415981,3.080360058
77,2.007541521,0.606555212,3.166274535
78,2.054017542,0.618790075,3.252623187
79,2.10037222,0.631117613,3.339338949
80,2.146564008,0.643534872,3.426354126
81,2.192551392,0.656038895,3.513600481
82,2.23829295,0.668626727,3.601009308
83,2.283747402,0.681295413,3.688511522
84,2.328873665,0.694041996,3.776037737
85,2.373630914,0.706863521,3.86351835
86,2.417978629,0.719757033,3.950883621
87,2.461876655,0.732719575,4.038063756
88,2.505285255,0.745748192,4.124988993
89,2.548165164,0.758839929,4.211589678
90,2.590477648,0.77199183,4.29779635
91,2.632184553,0.785200938,4.383539823
92,2.673248363,0.798464299,4.468751271
93,2.713632255,0.811778957,4.553362305
94,2.753300155,0.825141955,4.637305057
95,2.792216788,0.838550339,4.720512264
96,2.83034774,0.852001153,4.802917349
97,2.867659505,0.865491442,4.884454502
98,2.904119546,0.879018248,4.965058765
99,2.939696347,0.892578617,5.04466611
100,2.97435947,0.906169594,5.123213525
101,3.008079607,0.919788222,5.200639095
102,3.040828637,0.933431546,5.276882082
103,3.072579678,0.94709661,5.351883011
104,3.103307147,0.960780459,5.425583748
105,3.13298681,0.974480136,5.497927587
106,3.161595838,0.988192687,5.568859326
107,3.189112866,1.001915155,5.638325355
108,3.21551804,1.015644585,5.706273735
109,3.240793078,1.029378022,5.772654282
110,3.264921325,1.043112509,5.837418645
111,3.287887804,1.056845091,5.900520395
112,3.309679271,1.070572812,5.9619151
113,3.330284276,1.084292717,6.021560412
114,3.34969321,1.09800185,6.079416148
115,3.367898366,1.111697255,6.135444371
116,3.384893988,1.125375977,6.189609473
117,3.400676331,1.13903506,6.241878257
118,3.415243716,1.152671548,6.292220021
119,3.428596578,1.166282486,6.340606634
120,3.44073753,1.179864918,6.387012629
121,3.451671411,1.193415889,6.431415272
122,3.461405345,1.206932442,6.473794655
123,3.469948792,1.220411622,6.514133773
124,3.477313608,1.233850473,6.552418608
125,3.483514094,1.247246041,6.588638207
126,3.488567056,1.260595368,6.622784772
127,3.492491857,1.2738955,6.654853734
128,3.495310471,1.287143481,6.684843841
129,3.497047542,1.300336354,6.712757236
130,3.497730434,1.313471166,6.738599543
131,3.497389289,1.326544959,6.762379946
132,3.496057081,1.339554778,6.784111273
133,3.493769671,1.352497668,6.803810076
134,3.49056586,1.365370672,6.821496718
135,3.486487448,1.378170836,6.837195447
136,3.481579284,1.390895203,6.850934488
137,3.475889324,1.403540819,6.862746116
138,3.469468687,1.416104726,6.872666744
139,3.462371705,1.42858397,6.880737005
140,3.454655982,1.440975595,6.88700183
141,3.446382447,1.453276645,6.891510533
142,3.437615411,1.465484165,6.894316896
143,3.428422619,1.477595199,6.895479243
144,3.418875307,1.489606791,6.895060531
145,3.409048254,1.501515985,6.893128427
146,3.399019842,1.513319827,6.889755392
147,3.388872106,1.52501536,6.885018762
148,3.378690791,1.536599629,6.879000831
149,3.368565405,1.548069677,6.871788934
150,3.358589278,1.55942255,6.863475526
151,3.348859613,1.570655292,6.854158267
152,3.33947754,1.581764947,6.843940106
153,3.330548176,1.592748559,6.832929356
154,3.322180676,1.603603172,6.821239784
155,3.314488286,1.614325832,6.80899069
156,3.307588405,1.624913583,6.796306986
157,3.301602631,1.635363468,6.783319285
158,3.296656822,1.645672532,6.770163975
159,3.29288115,1.65583782,6.756983311
160,3.290410153,1.665856375,6.743925486
161,3.289382793,1.675725243,6.731144723
162,3.28994251,1.685441467,6.718801349
163,3.292237273,1.695002091,6.707061886
164,3.296419644,1.704404161,6.696099124
165,3.302646822,1.713644721,6.686092209
166,3.311080705,1.722720814,6.677226724
167,3.321887945,1.731629486,6.66969477
168,3.335239996,1.74036778,6.663695048
169,3.351313178,1.748932741,6.659432945
170,3.370288725,1.757321413,6.657120609
171,3.392352843,1.765530841,6.656977038
172,3.417696764,1.773558069,6.65922816
173,3.446516801,1.781400141,6.664106912
174,3.479014403,1.789054101,6.671853327
175,3.51539621,1.796516995,6.682714613
